min_deg,max_deg,number_component,number_articul,numbertriangle,clique_number,max_independent_set,distribution
10,84,1,0,60357,51,4,1
5,81,1,0,65371,61,4,1
1,76,2,2,54277,54,6,0
6,79,1,0,50884,49,4,1
14,80,1,0,48241,46,4,1
6,78,1,0,52286,46,4,1
5,74,1,0,50563,54,5,1
0,77,2,0,59252,60,6,0
1,78,1,2,61656,61,6,0
9,83,1,0,60183,53,4,1
8,81,1,0,58458,51,4,1
1,83,1,1,66005,57,6,0
9,78,1,0,50685,49,4,1
19,80,1,0,52347,48,4,1
6,72,1,0,40786,41,5,1
0,71,2,0,40569,46,6,0
2,72,1,1,47904,52,7,0
4,84,1,0,59958,52,4,1
0,70,2,0,39888,47,7,0
5,82,1,0,52018,52,4,1
10,85,1,0,66023,55,4,1
12,79,1,0,57352,50,4,1
3,72,1,0,41811,43,5,0
2,78,1,0,51575,51,5,1
10,81,1,0,62832,55,4,1
0,74,3,0,48317,54,6,0
0,71,3,0,39957,46,7,0
3,82,1,0,57011,52,4,1
5,72,1,0,47552,54,5,0
3,78,1,0,57168,56,6,0
7,76,1,0,52057,49,4,1
11,76,1,0,51499,50,4,1
1,75,1,3,52390,54,6,0
2,88,1,0,70774,57,5,1
2,79,1,0,55268,53,5,0
10,85,1,0,60984,50,4,1
0,74,2,1,46048,48,7,0
0,80,2,1,56208,53,7,0
2,79,1,1,61869,60,6,0
0,81,2,0,62223,60,6,0
1,80,1,1,63380,58,6,0
0,79,2,0,49225,46,6,0
5,81,1,0,53211,49,4,1
6,75,1,0,45515,45,5,1
11,82,1,0,59191,52,4,1
2,76,2,0,48443,50,6,0
4,79,1,0,59757,57,5,0
2,82,1,0,59579,53,5,1
6,76,1,0,48764,46,5,1
0,78,2,1,52674,55,7,0
5,80,1,0,52205,50,5,1
0,72,2,2,48658,55,7,0
21,86,1,0,69039,56,3,1
1,78,1,1,61537,60,6,0
0,73,3,1,43156,47,8,0
9,79,1,0,54599,51,4,1
1,80,1,1,66178,61,6,0
1,82,1,2,56044,50,6,0
2,81,1,0,71150,66,6,0
0,85,2,0,66783,57,6,0
2,77,1,1,49710,45,5,1
6,86,1,0,57023,48,4,1
10,74,1,0,49309,51,5,1
7,76,1,0,45791,42,5,1
3,79,1,0,54154,53,5,0
7,78,1,0,56605,54,4,1
2,74,1,0,47227,49,5,1
0,74,2,0,51966,54,5,0
1,74,3,0,48096,51,6,0
7,81,1,0,52975,49,4,1
13,69,1,0,40583,42,4,1
11,76,1,0,47412,48,4,1
0,81,3,0,61840,59,7,0
2,77,1,0,53718,51,5,1
0,74,2,0,46078,50,6,0
2,81,1,0,62127,56,5,1
3,78,1,0,54854,53,5,0
0,78,3,0,54575,56,7,0
2,80,1,0,57542,52,5,1
5,84,1,0,71472,62,4,0
5,79,1,0,55942,55,5,1
6,80,1,0,59891,55,5,1
5,77,1,0,49639,50,5,1
3,73,1,0,42940,48,7,0
9,74,1,0,45800,43,4,1
3,77,1,0,57292,55,5,0
1,81,1,1,58787,52,5,1
0,78,2,0,54458,53,6,0
3,74,1,0,45991,48,6,0
16,75,1,0,45129,42,4,1
1,76,1,1,58452,59,5,0
13,76,1,0,46996,42,4,1
4,74,1,0,49365,52,5,0
15,74,1,0,47798,46,4,1
8,80,1,0,57549,53,5,1
2,72,1,0,41173,40,5,1
2,71,1,0,44074,51,6,0
0,79,2,0,61227,56,6,0
