min_deg,max_deg,number_component,number_articul,numbertriangle,clique_number,max_independent_set,distribution
0,22,2,0,1374,21,3,1
2,23,1,0,1557,22,2,1
1,23,1,1,1777,23,2,1
3,24,1,0,1624,22,2,0
1,21,2,1,1375,11,4,1
3,24,1,0,1699,22,2,1
0,23,2,0,1361,21,2,1
1,23,1,1,1567,6,2,0
6,24,1,0,1996,23,2,0
0,22,3,0,1235,20,4,1
0,22,3,0,1550,22,4,1
2,24,1,1,1772,23,2,0
1,23,1,2,1771,23,2,0
0,23,2,0,1582,22,3,1
0,23,2,0,1774,23,3,0
20,24,1,0,2192,23,1,0
0,20,4,0,1330,21,4,1
1,22,1,2,1568,22,2,0
0,23,2,0,1786,23,3,0
0,23,2,0,1777,23,3,0
4,22,1,0,1213,20,2,0
5,24,1,0,1791,23,1,0
0,21,3,0,1351,21,4,1
0,21,3,0,1366,21,4,1
0,23,2,0,2024,24,2,1
11,24,1,0,2079,24,2,0
0,19,2,3,991,19,5,1
0,23,2,0,1750,22,2,0
3,24,1,0,1751,22,2,0
5,24,1,0,2034,24,2,0
5,24,1,0,2034,24,2,0
7,24,1,0,1222,20,2,1
6,24,1,0,1906,23,2,0
0,23,2,0,2024,24,2,0
2,23,1,0,1580,22,2,0
0,23,2,0,1792,23,2,0
3,23,1,0,1327,20,2,0
1,23,1,1,1544,3,2,0
2,22,1,1,1542,22,2,0
2,22,1,2,1541,22,2,1
1,19,2,1,981,19,4,1
0,23,2,0,1704,22,3,0
1,22,2,0,1595,22,2,0
0,20,3,0,995,19,4,1
0,21,3,1,1142,20,4,1
0,22,3,0,1771,23,3,0
0,22,2,1,1367,21,4,1
0,22,2,0,1161,20,3,1
0,20,2,0,1043,19,4,1
24,24,1,0,2300,25,1,0
20,24,1,0,2214,24,1,0
2,21,1,1,1049,5,3,1
2,24,1,0,1787,23,2,0
3,24,1,0,1840,23,2,0
1,22,2,0,1771,23,2,1
0,21,4,0,1396,21,4,1
0,20,3,2,971,3,5,1
7,24,1,0,1858,23,2,1
0,23,2,0,1582,22,3,0
0,18,3,0,692,17,4,1
12,24,1,0,2090,24,1,0
1,23,1,1,1799,23,2,0
2,22,1,1,1294,20,3,0
0,20,4,0,1195,20,5,1
2,23,1,0,1682,22,2,0
1,19,1,4,971,3,4,1
1,21,2,0,1171,20,3,1
1,22,2,0,1771,23,2,1
3,21,1,1,1340,21,2,1
0,19,3,2,980,1,5,1
0,23,2,0,2024,24,2,1
4,24,1,0,1577,22,2,0
1,23,1,1,1452,21,3,0
0,23,2,0,1837,23,3,0
3,20,2,0,1334,4,2,1
0,23,2,0,1981,23,2,0
3,24,1,0,1795,4,2,0
8,24,1,0,1640,22,2,0
0,22,2,1,1595,22,3,1
0,22,2,1,1595,22,3,1
0,22,2,1,1585,22,3,0
24,24,1,0,2300,25,1,0
4,24,1,0,1855,23,1,0
0,23,2,0,1609,22,3,1
0,22,2,1,1366,21,3,1
1,22,1,1,1360,21,3,1
4,24,1,0,1805,23,2,0
1,22,2,0,1771,23,2,0
2,21,1,2,1334,4,3,1
2,24,1,0,1773,23,2,0
1,24,1,1,2024,24,2,0
0,23,2,0,2024,24,2,1
0,23,2,0,2024,24,2,0
0,22,3,0,1400,21,4,1
2,21,1,2,1220,20,3,1
1,18,2,1,974,19,4,1
0,23,2,0,2024,24,2,0
1,23,1,1,1401,21,3,0
4,24,1,0,1636,22,2,0
13,24,1,0,1915,23,1,0
0,23,2,0,1544,22,3,0
6,24,1,0,1796,23,2,0
0,20,3,2,1066,15,5,1
4,21,1,0,1055,19,2,0
24,24,1,0,2300,25,1,0
0,23,2,0,1646,22,3,1
0,23,2,0,2024,24,2,0
0,22,2,1,1660,22,3,1
1,23,1,1,1774,23,2,0
6,24,1,0,1419,21,2,0
5,24,1,0,1952,23,1,0
0,21,3,0,1333,21,4,1
4,22,1,0,1159,20,2,1
3,24,1,0,1775,23,1,0
4,24,1,0,1783,23,2,0
15,24,1,0,1967,23,2,0
0,23,2,0,1544,21,3,1
5,24,1,0,1586,22,2,0
5,24,1,0,1859,23,2,0
24,24,1,0,2300,25,1,0
6,24,1,0,1657,22,2,1
0,23,2,0,1777,23,3,0
6,24,1,0,1243,20,2,1
0,20,5,0,1330,1,5,1
0,23,2,0,2024,24,2,0
6,24,1,0,1556,21,1,0
0,21,4,0,1540,22,4,1
0,23,2,0,1632,22,3,1
1,23,1,1,1624,21,2,0
0,22,2,2,1540,22,3,1
0,23,2,0,1837,23,2,0
0,21,2,0,1218,20,3,1
0,23,2,0,2024,24,2,0
19,24,1,0,2195,24,1,0
4,22,1,0,751,17,2,1
0,22,2,1,1355,21,3,1
8,24,1,0,1632,22,1,1
1,22,1,2,1219,10,3,0
0,21,4,0,1540,22,4,1
0,22,3,0,1543,22,4,1
0,23,2,0,1483,20,3,0
3,24,1,0,1945,23,2,0
1,22,2,0,1164,20,3,1
0,22,2,0,1124,19,3,1
0,23,2,0,1383,20,3,0
0,22,2,0,1395,21,3,1
0,22,3,0,1217,20,4,1
12,24,1,0,2090,24,2,0
0,23,2,0,1544,22,2,1
0,23,2,0,1786,7,3,0
8,24,1,0,1737,22,1,0
0,23,2,0,2024,24,2,1
0,22,3,0,1550,22,4,1
2,22,1,0,1130,6,3,1
1,22,2,0,1771,23,2,0
3,24,1,0,2027,24,2,0
15,24,1,0,1981,23,1,0
0,22,2,1,878,18,3,1
24,24,1,0,2300,25,1,0
3,24,1,0,1567,8,2,0
0,21,2,0,1153,9,3,1
9,24,1,0,1997,23,1,0
1,20,1,3,974,2,3,1
0,21,2,1,1106,19,4,1
6,24,1,0,2039,24,2,0
5,24,1,0,1570,22,2,0
0,20,3,1,762,5,4,1
4,21,1,0,1152,20,2,1
0,23,2,0,1924,23,2,0
6,24,1,0,1183,20,2,0
24,24,1,0,2300,25,1,0
1,23,1,1,1837,23,2,0
0,23,2,0,1363,21,3,1
1,24,1,1,2024,24,2,0
24,24,1,0,2300,25,1,1
0,23,2,0,2024,24,2,0
2,21,1,1,1333,21,3,0
0,21,3,0,1540,22,3,1
12,24,1,0,1322,19,2,0
24,24,1,0,2300,25,1,0
10,24,1,0,2069,24,1,0
0,22,3,0,1595,22,3,1
3,24,1,0,1739,22,2,0
1,21,2,0,984,19,3,1
5,24,1,0,1817,23,2,0
3,24,1,0,1582,22,2,1
0,23,2,0,1663,22,2,1
0,23,2,0,1717,22,3,1
0,20,3,0,1103,19,3,1
24,24,1,0,2300,25,1,1
0,22,3,0,1771,23,3,1
0,23,2,0,1549,22,3,1
1,24,1,1,2024,24,2,0
12,24,1,0,2090,24,1,0
1,21,1,3,1340,21,3,1
16,24,1,0,2144,24,1,0
1,24,1,1,2024,24,2,0
2,23,1,0,1208,20,3,1
1,23,1,1,1862,23,2,0
0,23,2,0,1631,22,2,0
16,24,1,0,1967,22,1,0
2,21,2,0,1541,22,2,1
4,24,1,0,1558,22,2,0
1,23,1,1,1571,21,2,1
1,21,2,1,1540,22,3,1
1,23,1,1,1612,22,2,0
0,21,2,0,896,1,4,1
4,24,1,0,1783,23,2,0
1,23,1,1,1772,23,2,0
24,24,1,0,2300,25,1,0
7,24,1,0,1586,22,2,0
0,23,2,0,1772,23,3,1
8,24,1,0,1877,23,1,0
1,20,2,1,1019,19,4,1
24,24,1,0,2300,25,1,0
4,24,1,0,1798,23,2,0
10,24,1,0,1523,11,2,0
0,20,3,1,993,19,5,1
3,24,1,0,1789,23,1,0
2,24,1,0,1908,23,2,0
0,23,2,0,1567,22,3,1
0,23,2,0,1907,23,3,0
0,22,2,1,1618,1,3,0
2,24,1,0,1925,23,2,0
1,22,2,0,1771,23,2,0
24,24,1,0,2300,25,1,0
0,22,2,1,1346,21,3,1
4,22,1,0,1282,20,2,0
0,21,3,1,1219,20,5,1
0,22,2,1,1132,19,4,1
0,20,3,0,1081,19,4,1
24,24,1,0,2300,25,1,0
5,24,1,0,1359,21,2,0
0,22,3,0,1155,1,4,1
16,24,1,0,2144,24,2,0
0,23,2,0,2024,24,2,0
0,20,3,1,997,19,5,1
0,23,2,0,1621,14,3,0
1,20,1,1,850,17,4,1
3,20,1,1,842,18,3,1
16,24,1,0,2144,24,1,0
0,23,2,0,1849,23,2,0
0,21,3,0,1151,1,4,1
0,23,2,0,2002,23,2,0
0,23,2,0,1212,20,3,1
3,24,1,0,2027,24,2,1
0,21,2,1,1187,20,4,1
0,20,3,0,1331,21,3,1
2,21,2,0,1334,21,3,1
8,24,1,0,1854,23,1,0
14,24,1,0,2115,24,2,0
2,23,1,0,1587,20,2,1
5,24,1,0,1566,22,2,0
0,23,2,0,2024,24,2,0
4,24,1,0,2030,24,2,0
11,24,1,0,2079,24,2,0
0,23,2,0,1056,19,3,0
1,23,1,1,1616,22,3,0
13,24,1,0,2102,24,1,0
0,23,2,0,1883,22,2,0
