min_deg,max_deg,number_component,number_articul,numbertriangle,clique_number,max_independent_set,distribution
0,90,2,0,98928,83,5,1
0,91,3,0,99276,83,5,1
0,98,2,0,145151,96,3,0
3,98,1,0,146465,96,2,0
2,93,1,2,110370,88,5,1
5,90,1,0,94053,82,4,1
1,98,1,1,136051,94,3,0
4,97,1,0,121409,88,3,0
0,97,2,0,125789,91,3,0
1,97,1,2,141691,95,3,0
0,92,3,0,93242,30,5,1
0,92,4,0,98823,84,6,1
1,95,1,1,118746,89,3,0
1,97,1,2,143072,95,2,0
1,97,1,1,127840,91,3,0
0,90,3,2,101182,85,6,1
1,97,1,2,127198,92,3,0
0,87,5,0,83126,79,7,1
0,87,3,0,87240,81,6,1
2,97,1,0,130174,92,3,0
5,96,1,0,121331,90,3,0
6,98,1,0,134641,93,2,0
3,98,1,0,119843,88,3,0
4,96,1,0,118416,15,2,0
0,90,2,1,103145,85,6,1
0,90,4,0,82207,1,6,1
0,87,3,2,81757,24,7,1
0,94,3,2,100515,82,5,1
0,91,3,2,99224,11,5,1
28,99,1,0,119755,88,1,0
5,98,1,0,135416,16,2,0
0,87,2,0,94174,8,5,1
4,97,1,0,121673,87,3,0
0,95,2,0,118444,90,4,1
1,97,2,0,131060,92,2,0
6,98,1,0,132809,92,2,0
3,90,1,1,90131,81,4,1
4,96,1,0,119947,90,3,0
0,96,2,0,132199,93,3,0
3,95,2,0,119183,88,2,0
1,92,2,2,100918,84,5,1
2,89,2,0,97384,83,5,1
0,93,3,0,106791,86,5,1
2,84,1,1,93508,83,4,1
0,92,2,0,99850,12,3,1
0,93,3,1,111090,87,6,1
1,95,1,1,109469,87,4,1
0,87,3,1,83737,45,6,1
3,95,1,0,119382,89,3,0
1,96,1,2,118283,89,3,0
0,90,2,2,85700,79,5,1
0,89,2,1,91003,81,5,1
0,97,2,0,122443,90,4,0
4,96,1,0,123432,91,3,0
2,96,1,1,121942,89,3,0
1,89,2,1,102748,86,5,1
0,97,2,0,124648,91,3,0
0,94,3,0,114373,29,5,1
13,99,1,0,123323,91,2,0
1,97,2,0,120135,32,3,0
1,94,2,1,98969,23,4,1
7,99,1,0,138338,94,2,0
1,95,1,1,108005,86,3,0
0,97,2,0,121974,90,3,0
0,98,2,0,142562,94,3,0
0,89,4,2,91928,81,7,1
0,86,2,0,79281,78,5,1
3,98,1,0,130870,92,3,0
25,99,1,0,141107,95,1,0
1,87,2,0,85338,80,5,1
0,97,2,0,123248,34,3,0
0,89,3,0,88555,81,5,1
1,91,2,0,78487,77,5,1
0,96,2,0,116185,89,3,0
0,91,2,1,105758,86,4,1
2,95,1,0,114061,87,3,0
0,93,2,0,101807,84,5,1
0,94,2,0,119252,90,4,1
0,97,2,0,122498,90,3,0
0,93,4,0,104677,85,6,1
6,93,1,0,102186,85,3,0
0,91,2,2,108335,87,5,1
0,97,2,0,114613,88,4,0
6,95,1,0,117132,89,3,1
8,97,1,0,115206,88,3,0
0,93,3,0,108157,86,5,1
2,95,1,1,123345,90,3,0
0,97,2,0,134290,93,4,0
0,95,2,0,120436,90,4,0
1,96,1,1,120067,90,3,0
1,95,2,0,110178,54,4,1
2,98,1,0,130271,92,3,0
0,86,4,1,77899,78,7,1
0,88,2,1,81013,76,5,1
0,98,2,0,146939,95,3,0
0,93,3,1,107917,87,6,1
0,98,2,0,141968,95,3,0
0,98,2,0,139450,94,3,0
0,94,2,0,107865,87,4,1
11,99,1,0,134030,92,2,0
0,98,2,0,136409,94,3,0
0,93,4,0,103833,85,6,1
0,92,2,1,94601,32,5,1
0,91,2,0,99542,85,4,1
1,97,1,2,132887,92,3,0
0,89,3,0,90070,82,6,1
2,97,1,0,124400,90,3,0
9,98,1,0,121375,90,2,0
2,88,2,0,84039,79,5,1
1,97,1,1,112432,87,3,0
0,92,2,1,113440,88,5,1
0,89,4,1,105281,86,6,1
5,98,1,0,122471,88,2,0
20,99,1,0,120570,87,2,0
1,88,2,2,91162,82,5,1
3,98,1,0,130333,92,3,0
9,98,1,0,125011,90,2,0
0,98,2,0,145744,96,3,0
0,97,2,0,128930,92,4,0
1,98,1,1,130164,91,3,0
3,97,1,0,121804,89,3,0
1,89,2,1,97409,83,5,1
0,91,4,0,104895,86,6,1
2,94,1,0,100901,85,3,1
0,83,5,1,76231,4,8,1
1,97,2,0,114927,87,3,0
13,99,1,0,144922,95,2,0
8,96,1,0,117568,89,2,0
6,96,1,0,116177,89,3,0
1,91,3,1,103990,2,6,1
0,87,2,2,86818,9,6,1
4,97,1,0,125817,90,3,0
2,96,1,0,121071,88,3,0
0,97,3,0,131002,92,4,0
0,92,5,0,96951,84,7,1
0,90,2,2,85869,80,5,1
0,93,3,0,107216,87,5,1
0,98,2,0,111358,87,3,0
1,97,1,1,123040,11,3,0
0,88,2,1,77915,3,6,1
0,89,2,1,89572,81,5,1
0,98,2,0,122047,88,3,0
0,98,2,0,139459,95,3,0
0,88,3,1,93806,83,6,1
2,96,1,0,124769,91,3,0
1,90,2,0,94048,52,5,1
0,94,3,0,113166,2,5,1
0,91,4,1,109991,87,6,1
0,96,2,0,121006,90,3,0
13,99,1,0,120628,43,2,0
1,96,1,1,120437,18,3,0
0,91,4,0,90720,81,5,1
5,98,1,0,130404,91,3,0
1,93,2,2,96515,84,4,1
7,97,1,0,128343,92,2,0
0,92,2,1,102704,25,5,1
2,98,1,0,138200,94,3,0
0,87,3,0,86215,80,6,1
0,92,3,2,111541,87,6,1
1,93,1,2,95541,82,4,1
0,95,3,0,110575,87,4,0
3,96,1,0,120247,88,3,0
3,95,1,0,126596,91,3,0
5,98,1,0,132877,93,3,0
0,98,2,0,128980,92,3,0
1,96,2,0,114970,88,4,0
13,99,1,0,111129,87,2,0
0,94,3,0,99203,84,5,1
2,93,1,1,100725,84,4,1
4,95,1,0,105422,84,3,0
15,99,1,0,129476,90,2,0
0,96,4,0,90067,80,5,1
0,94,3,2,112890,3,5,1
19,99,1,0,124380,90,2,0
13,99,1,0,114558,88,2,0
0,96,2,0,132470,93,3,0
3,95,1,0,108253,86,3,0
0,96,3,0,107838,86,4,0
0,95,3,0,111139,88,4,1
2,91,1,0,106540,87,4,1
0,98,2,0,131016,93,3,0
0,94,2,0,117820,89,4,0
1,97,1,1,127632,92,3,0
0,98,2,0,136138,46,3,0
8,99,1,0,137812,94,2,0
0,97,2,1,133468,91,3,0
0,91,4,0,99535,8,6,1
0,92,3,0,96189,83,5,1
1,97,1,1,120092,89,3,0
8,97,1,0,116155,88,2,0
0,89,2,1,93613,83,5,1
0,90,4,0,81366,1,6,1
0,90,2,0,107402,87,5,1
1,96,1,2,115395,87,3,0
8,97,1,0,121229,90,2,0
0,92,3,1,103204,3,6,1
0,91,5,0,109096,87,7,1
4,90,1,0,85628,79,4,1
0,86,4,2,80547,12,8,1
9,97,1,0,120591,90,2,0
5,96,1,0,112679,15,2,0
0,91,3,1,101580,85,5,1
2,96,1,0,130497,92,3,0
0,93,3,2,106114,86,6,1
16,99,1,0,115524,86,2,0
1,97,2,0,135044,93,3,0
1,87,2,2,84242,80,7,1
1,97,1,2,137234,94,3,0
0,98,2,0,130295,92,3,1
6,98,1,0,131548,93,2,0
1,94,1,2,95879,83,4,0
8,99,1,0,140589,92,2,0
9,99,1,0,137460,94,2,0
2,96,1,1,128296,92,3,0
0,87,4,2,86395,81,7,1
3,88,2,0,88195,80,4,1
16,99,1,0,122246,88,2,0
0,90,3,1,96096,83,7,1
0,92,3,0,90357,82,4,1
6,93,1,0,106200,85,3,0
4,97,1,0,136752,94,3,0
0,88,3,0,79334,78,6,1
34,99,1,0,153437,98,2,0
1,86,1,1,83805,80,6,1
0,88,3,1,97178,84,7,1
0,94,2,3,101584,84,5,1
1,92,2,4,101127,84,5,1
0,90,2,0,89959,81,5,1
0,91,5,0,97593,84,6,1
1,96,1,1,112775,88,3,0
0,98,2,0,129591,91,3,0
0,95,2,0,120585,90,3,0
41,99,1,0,153373,97,1,0
1,94,1,1,125327,91,3,0
0,92,4,0,85736,80,6,1
0,89,2,6,94858,83,7,1
5,98,1,0,116410,88,2,0
0,89,3,1,93121,14,6,1
3,97,1,0,125003,91,3,0
2,94,1,3,120670,89,4,0
1,98,1,1,136149,93,3,0
2,97,1,0,136150,93,3,0
2,96,1,0,130720,92,3,0
13,99,1,0,115864,88,2,0
2,85,1,1,75120,10,5,1
0,93,2,1,95011,82,4,1
0,94,3,1,102936,38,5,1
18,99,1,0,132585,79,2,0
10,98,1,0,119875,89,2,0
1,89,1,1,100641,85,5,1
2,96,1,0,125905,89,3,0
1,89,3,0,96664,83,5,1
13,99,1,0,131151,92,2,0
1,92,1,2,118936,90,4,1
1,91,1,1,113973,88,3,1
0,95,3,0,129011,92,5,0
0,94,4,0,97465,83,5,1
0,94,3,0,120335,90,5,1
5,97,1,0,133530,92,2,0
1,97,1,1,132838,91,3,0
0,92,2,0,93561,82,4,1
0,94,3,0,112877,88,5,1
0,98,2,0,124902,90,3,0
0,88,3,0,86739,81,6,1
0,92,4,1,92832,83,7,1
0,93,2,1,112648,88,5,1
2,88,1,3,95090,83,5,1
1,92,1,1,96093,82,4,1
0,86,2,1,85377,80,4,1
0,92,3,2,103870,86,5,1
6,95,1,0,107854,85,3,0
6,97,1,0,127436,91,2,0
0,98,2,0,118495,89,3,0
4,98,1,0,115048,26,2,0
2,95,1,0,113214,87,4,1
0,91,3,0,107288,86,5,1
2,96,1,0,121507,90,3,0
1,92,2,1,90658,81,5,1
0,89,3,0,85019,79,5,1
1,89,2,2,89107,81,5,1
0,94,4,0,109238,22,5,1
5,98,1,0,134888,94,2,0
1,95,1,1,117670,90,3,0
0,95,2,0,114281,89,4,0
15,99,1,0,124557,91,2,0
0,89,2,2,100548,85,5,1
5,97,1,0,102711,84,2,0
1,97,2,0,135722,94,3,0
10,99,1,0,123527,90,2,0
6,97,1,0,130288,92,2,0
2,97,1,0,127921,91,3,0
5,98,1,0,126290,91,3,0
4,97,1,0,132945,93,3,0
0,89,4,0,96722,84,6,1
1,96,2,0,121753,90,3,1
0,98,2,0,119929,89,3,0
1,88,2,1,92006,82,6,1
0,88,4,1,78604,77,7,1
10,99,1,0,133112,93,2,0
16,99,1,0,138087,92,2,0
5,97,1,0,96540,83,3,0
0,96,2,0,116610,89,4,0
1,98,1,1,132066,92,2,0
1,97,1,2,132858,92,3,0
0,88,3,1,96358,84,6,1
4,97,1,0,115135,85,3,0
0,92,3,1,91011,82,6,1
5,98,1,0,132304,92,2,0
0,98,2,0,143619,96,3,0
0,92,5,0,104621,1,7,1
0,94,3,0,116110,88,4,1
2,96,1,0,118939,89,2,0
1,96,1,1,117341,89,3,0
0,92,2,0,97032,84,4,1
3,98,1,0,144729,96,2,0
0,94,4,1,99304,83,6,1
0,92,2,0,87476,79,5,1
1,95,1,1,121431,89,3,0
0,93,2,2,109486,87,5,1
5,93,1,0,109027,87,3,1
3,88,1,0,85236,79,4,1
17,99,1,0,140385,94,2,0
0,87,2,3,91000,82,6,1
0,91,2,1,91065,82,5,1
1,89,2,4,75421,76,6,1
12,99,1,0,119270,88,2,0
2,96,1,0,131847,93,3,0
2,92,1,2,87499,23,4,1
0,98,2,0,134436,93,3,0
4,95,1,0,118076,5,3,0
0,94,3,0,107747,86,5,1
0,88,3,1,88197,81,6,1
0,86,3,1,90121,82,6,1
0,98,2,0,138985,95,3,0
3,98,1,0,126178,91,3,0
6,98,1,0,119685,88,2,0
1,96,1,1,125063,91,3,0
0,92,4,0,111069,88,5,1
0,86,3,1,83942,80,7,1
11,99,1,0,146710,96,2,0
4,98,1,0,121256,24,3,0
1,98,1,1,136340,94,3,0
0,98,2,0,134874,39,3,0
0,92,2,0,111881,88,3,1
2,97,1,0,139092,94,3,0
10,99,1,0,122890,90,2,0
0,89,4,0,99970,85,6,1
2,96,1,2,127104,92,3,0
0,88,2,0,85407,80,5,1
5,97,1,0,117361,27,3,0
2,96,1,0,110799,86,3,0
3,95,1,0,107190,86,3,1
0,90,2,2,88794,81,5,1
1,91,3,0,93691,39,5,1
