min_deg,max_deg,number_component,number_articul,numbertriangle,clique_number,max_independent_set,distribution
33,378,1,0,6435143,234,5,1
0,390,3,1,7357792,265,10,0
0,357,3,0,5645609,235,9,0
9,401,1,0,7105361,229,6,1
1,373,1,2,6486867,247,8,0
0,389,2,0,7143475,257,8,0
1,378,1,2,6893851,261,9,0
19,389,1,0,6696469,236,5,1
18,392,1,0,7292278,247,5,1
11,390,1,0,6569052,225,5,1
10,400,1,0,7308242,241,6,1
18,403,1,0,7742410,257,5,1
1,393,1,1,7229449,243,6,1
21,389,1,0,6423181,218,5,1
7,376,1,0,6374963,229,6,1
0,374,2,0,6342916,244,9,0
2,401,1,0,7685946,266,8,0
4,400,1,0,7465816,255,6,1
1,385,1,1,6959828,257,8,0
25,399,1,0,7207848,242,5,1
0,375,2,0,6722138,253,8,0
12,393,1,0,6970145,235,5,1
1,380,2,0,6760899,255,8,0
44,392,1,0,7046746,234,5,1
6,399,1,0,7973617,280,7,0
4,378,1,0,6357894,218,6,1
2,383,1,0,7279160,272,8,0
11,399,1,0,7342616,245,5,1
29,385,1,0,6843228,232,5,1
7,394,1,0,7041361,238,6,1
2,384,1,0,6847524,242,6,1
19,392,1,0,7107460,244,5,1
12,377,1,0,6376224,231,6,1
0,383,3,0,7103665,271,10,0
1,370,2,0,6426140,248,9,0
3,392,1,0,7370301,274,7,0
32,375,1,0,6285443,227,5,1
41,375,1,0,6323416,233,5,1
8,389,1,0,6809683,234,6,1
5,393,1,0,6696814,221,6,1
2,379,1,1,6910779,258,8,0
21,395,1,0,7253131,233,5,1
0,391,2,1,7316128,262,8,0
0,369,2,0,6235750,247,9,0
0,382,2,2,6563835,233,9,0
16,398,1,0,7198025,238,5,1
1,384,2,1,7136216,262,8,0
0,369,2,2,6357650,254,9,0
0,374,2,0,6648806,252,9,0
0,390,2,0,7226919,265,8,0
0,376,2,1,6933195,273,9,0
6,374,1,0,6282218,228,5,1
5,385,1,0,6362118,217,6,1
3,378,1,0,6685991,253,7,0
13,390,1,0,6661484,227,5,1
0,388,2,0,7324172,270,8,0
1,391,1,2,7079004,250,8,0
1,385,1,1,7172044,260,8,0
0,388,2,0,7682251,285,9,0
0,375,3,0,6332225,244,9,0
0,383,2,0,6891701,257,8,0
